YEAR,chad,china,India ,Madagascar,Niger,Nigeria,Pakistan,Rwanda,Turkey,Vietnam
2006,10.8,66.1,31.6,10.9,8.2,31.9,47.6,53.3,91.1,63
2007,11,67.2,32.6,11,8.5,31.5,49.4,54.3,91.6,64.7
2008,11.2,68.4,33.6,11.1,8.8,31.2,51.2,55.3,92,66.4
2009,11.4,69.6,34.6,11.2,9.1,30.8,53,56.3,92.5,68.1
2010,11.6,70.8,35.5,11.4,9.5,30.5,54.8,57.2,92.9,69.7
2011,11.8,71.9,36.5,11.5,9.8,30.2,56.5,58.2,93.3,71.4
2012,12,73.1,37.5,11.6,10.1,29.9,58.3,59.1,93.7,73.1
2013,12,74.2,38.5,11.7,10.5,29.6,60,60,94.1,74.7
2014,12,75.4,39.5,11.9,10.8,29.3,61.8,60.8,94.5,76.3
2015,12.1,76.5,39.6,12,10.9,29,63.5,61.6,94.9,78
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
