YEAR,Chad,China,India,Madagascar,Niger,Nigeria,Pakistan,Rwanda,Turkey,Vietnam
2006,96.81,48.2,70.26,98.97,98.68,98.68,69.5,99.59,1.62,67.39
2007,96.84,47.5,69.05,98.98,98.63,98.63,68.19,99.57,1.43,63.96
2008,96.77,46.63,67.94,99.01,98.57,98.57,66.95,99.56,1.31,60.45
2009,96.81,45.93,67.18,99.03,98.55,98.55,65.83,99.56,1.15,56.88
2010,96.86,45.09,65.6,99.04,98.45,98.45,64.41,99.53,1.06,53.24
2011,96.85,44.34,64.58,99.06,98.39,98.39,63.15,99.52,0.97,49.86
2012,96.82,43.6,63.36,99.04,98.33,98.33,61.87,99.49,0.9,46.16
2013,96.85,42.76,62.19,99.06,98.3,98.3,60.53,99.48,0.82,42.77
2014,96.87,42.2,61.2,99.08,98.23,98.23,59.26,99.46,0.78,39.21
2015,96.87,41.46,60.12,99.1,98.12,98.12,57.87,99.44,0.73,36.19
